"stocks","events","dt1s","dt2s","dps","qs","gs"
"NWS","1101153000","15.2166666666667","0","0.240000000000002","1260023","0"
"NWS","1103093000","24.2666666666667","0","0.599999999999998","1039056","0"
"NWS","1103100000","8.23333333333333","4.15931199674636","0.240000000000002","994766","0"
"NWS","1109093000","26.65","4.51862450559193","0.370000000000001","429986","0"
"NWS","1117100000","24.25","13.775313355711","0.219999999999999","696816","1"
"NWS","1118093000","18.4166666666667","1.63665004761941","0.259999999999998","339254","0"
"NWS","1122093000","22.0333333333333","2.68865206525247","0.23","371811","1"
"NWS","1125093000","27.5833333333333","0","0.260000000000002","345289","1"
"NWS","1125133000","13","0.156167045089991","0.389499999999998","1500","1"
"NWS","1128093000","21.75","7.46768106046025","0.370000000000001","552316","1"
"SPWR","1117093000","26.7","8.95933533418238","1.22","102449","0"
"SPWR","1118093000","26","14.1226051276058","0.34","131037","0"
"SPWR","1118113000","19.1","64.490319929983","0.46","87953","1"
"SPWR","1121093000","28.1","4.46096077761247","0.79","199156","0"
"SPWR","1122103000","22.4833333333333","2.64154625366754","0.21","41949","0"
"SPWR","1123093000","28","2.74795252091267","0.49","46092","1"
"SPWR","1125093000","29.6333333333333","11.4098841575572","0.29","20926","0"
"SPWR","1128093000","23","5.56466964092437","0.31","45291","1"
"SPWR","1129150000","18","6.65257315030683","0.34","159921","1"
"SPWR","1130093000","17.5","4.53508762497174","0.46","127344","1"
"CVLT","1101093000","12.65","0","2.9","226156","1"
"CVLT","1102093000","29.0833333333333","5.32620082297032","1.31","141686","0"
"CVLT","1102103000","21.95","0","0.93","110164","1"
"CVLT","1103093000","26.3833333333333","0","1.26","34968","0"
"CVLT","1108093000","0.5","0","1.4644","35215","0"
"CVLT","1110093000","25.9833333333333","2.70400813861245","1.5","41793","0"
"CVLT","1114093000","27.4333333333333","8.62220499536327","0.96","132875","1"
"CVLT","1117093000","21.8833333333333","0.788033382170349","1.6492","43534","0"
"CVLT","1125133000","6","0.121073472168714","1.39","4607","1"
"CVLT","1128093000","15.1","4.88888422720451","2.0199","121889","1"
"AZPN","1101093000","1.66666666666667","0","1.38","37004","0"
"AZPN","1102093000","12.0166666666667","0","0.91","165167","1"
"AZPN","1102103000","28.1","14.4037810171372","0.52","180919","1"
"AZPN","1102110000","14.75","0","0.370000000000001","99739","0"
"AZPN","1103093000","23.25","0","0.379999999999999","33214","0"
"AZPN","1103100000","23.5166666666667","12.6914213658041","0.449999999999999","60155","1"
"AZPN","1108093000","19.1333333333333","8.94542509407166","0.43","123439","1"
"AZPN","1108100000","28.25","6.80798430134253","0.400000000000002","54738","0"
"AZPN","1121093000","26.2","12.0963633858952","0.43","79272","0"
"AZPN","1128093000","14.6166666666667","0","0.738000000000001","168669","1"
"CDNS","1101093000","20.5666666666667","0","0.32","456641","1"
"CDNS","1101140000","0.216666666666667","0","0.18","258815","1"
"CDNS","1103093000","22.55","0","0.18","327274","0"
"CDNS","1103100000","13.9333333333333","11.8182079826924","0.199999999999999","253778","1"
"CDNS","1116153000","29.6","31.3830854272657","0.1928","824345","0"
"CDNS","1117093000","19.45","0","0.210000000000001","242612","0"
"CDNS","1121093000","23.5","6.9203068604527","0.19","423629","0"
"CDNS","1121103000","23.3333333333333","6.94448742557646","0.17","325505","0"
"CDNS","1125133000","6","0","0.32","310","1"
"CDNS","1130093000","20.2333333333333","2.84648856147424","0.33","396011","1"
"SIRO","1101093000","16.5666666666667","0","1.14","58542","0"
"SIRO","1104093000","9.28333333333333","0","1.16999999999999","25321","1"
"SIRO","1109093000","27.2833333333333","0.481261342409346","0.964999999999996","32244","0"
"SIRO","1114093000","11.2833333333333","0","1","61332","1"
"SIRO","1118093000","11.2833333333333","0","2.48","637538","0"
"SIRO","1118113000","4.36666666666667","17.218825252227","2.41","236684","0"
"SIRO","1121093000","16.2666666666667","1.60192708078432","0.994","176797","0"
"SIRO","1125093000","11.2833333333333","1.01777273796163","1.22","142721","1"
"SIRO","1125130000","16","0","1.19","21606","1"
"SIRO","1130093000","16.4833333333333","0","0.779999999999994","55673","1"
"FEIC","1101093000","20.2666666666667","0","1.185","155529","0"
"FEIC","1103093000","25.1666666666667","0","0.809999999999995","15276","0"
"FEIC","1104093000","0.0666666666666667","0","0.882000000000005","60781","0"
"FEIC","1109093000","17.2333333333333","0","0.950000000000003","54403","1"
"FEIC","1117093000","1.33333333333333","0","0.93","27960","1"
"FEIC","1118093000","22.5166666666667","0","0.86","42795","0"
"FEIC","1125133000","6","0.12935339190094","1.32","4040","1"
"FEIC","1128093000","23.9","0","1.03870000000001","15469","1"
"FEIC","1129093000","6.71666666666667","0","0.839999999999996","22041","0"
"FEIC","1130093000","16","0","1.2716","48547","1"
"ALNY","1102093000","2.4","0","0.47","45970","1"
"ALNY","1103093000","11.5166666666667","0","0.225000000000001","21461","0"
"ALNY","1107103000","24.75","8.85937437911744","0.25","67670","0"
"ALNY","1109093000","1.96666666666667","0","0.25","19412","1"
"ALNY","1110143000","18.2333333333333","4.45773810344976","0.180000000000001","66594","0"
"ALNY","1111093000","3.65","0","0.255","7208","0"
"ALNY","1121093000","22","7.5017088382941","0.24","20735","0"
"ALNY","1122103000","27.4666666666667","7.44807793363135","0.18","27938","0"
"ALNY","1125133000","16","0.140698462508124","0.242900000000001","4785","1"
"ALNY","1128093000","9.43333333333333","0","0.31","38469","1"
"HAIN","1101110000","2.68333333333333","8.46588739839696","0.61","23510","0"
"HAIN","1102093000","3.5","67.1252605404476","1.16","154060","1"
"HAIN","1102100000","22.8333333333333","0","0.910000000000004","72650","0"
"HAIN","1102103000","25.5333333333333","0","1.06","102426","1"
"HAIN","1102110000","17.7333333333333","11.2296741402529","0.939999999999998","58137","1"
"HAIN","1103093000","22.6833333333333","0","0.560000000000002","27564","0"
"HAIN","1109093000","0.166666666666667","0","0.75","18590","0"
"HAIN","1116093000","29.15","0","0.899999999999999","50949","1"
"HAIN","1122093000","24.45","5.413739689561","0.96","54060","1"
"HAIN","1130093000","28.6","0","0.75","84815","0"
"BRCD","1107093000","6.55","0","0.2","1321790","1"
"BRCD","1109093000","25.2166666666667","2.13830107928269","0.16","432083","0"
"BRCD","1117093000","19.35","6.26465105493917","0.17","820420","0"
"BRCD","1121093000","17.0166666666667","19.0635445260029","0.16","1224826","0"
"BRCD","1121100000","18.5833333333333","0","0.17","1702653","1"
"BRCD","1121153000","8.1","0","0.19","2949569","0"
"BRCD","1122093000","26.2333333333333","19.8658440139952","0.3","4553649","1"
"BRCD","1122100000","21.75","26.3729836811832","0.220000000000001","7102914","1"
"BRCD","1125093000","24.0833333333333","4.87164944661547","0.3","1286179","1"
"BRCD","1129093000","0.316666666666667","0","0.16","904683","0"
"FMER","1101093000","12.5666666666667","0","0.5","116005","1"
"FMER","1103093000","16.9333333333333","0","0.359999999999999","56211","0"
"FMER","1103103000","9.35","1.74732171742135","0.289999999999999","40541","1"
"FMER","1104093000","29.6333333333333","19.6692157821206","0.299999999999999","50606","0"
"FMER","1108110000","21.8","3.72927047221574","0.285","31186","0"
"FMER","1110093000","17.3833333333333","3.97826190947339","0.299999999999999","64518","1"
"FMER","1118093000","20.5166666666667","0","0.359999999999999","131489","0"
"FMER","1123093000","13.8","7.56965724346467","0.319999999999999","67925","0"
"FMER","1125133000","6","0.137670996172834","0.469999999999999","12600","1"
"FMER","1130093000","13.4","4.85971668503608","0.479899999999999","89731","1"
"PMTC","1101093000","0.633333333333333","0","0.540000000000003","235423","0"
"PMTC","1101110000","28.9666666666667","22.0127160835947","0.359999999999999","107774","0"
"PMTC","1108093000","29.4","18.2823023487719","0.490000000000002","87231","1"
"PMTC","1110093000","28.4333333333333","0","0.509999999999998","94689","0"
"PMTC","1116093000","26.7666666666667","0","0.48","327217","1"
"PMTC","1117123000","11.1","1.52176931542316","0.359999999999999","97271","0"
"PMTC","1123100000","21.55","8.96028237171083","0.350000000000001","87741","0"
"PMTC","1125093000","14.0166666666667","0","0.448800000000002","60156","1"
"PMTC","1125133000","6","0","0.710000000000001","11627","1"
"PMTC","1130093000","13.5666666666667","0","0.449999999999999","107950","1"
"MORN","1101093000","27.25","0","0.950000000000003","8069","1"
"MORN","1101150000","2.78333333333333","0","0.649999999999999","7841","0"
"MORN","1101153000","18.2166666666667","0","0.799999999999997","16462","0"
"MORN","1102093000","1.16666666666667","0","0.740000000000002","2200","1"
"MORN","1102153000","22.1333333333333","8.33715738879797","0.810000000000002","26110","1"
"MORN","1103093000","28","0","1","3040","0"
"MORN","1107100000","12.15","16.4019982613705","0.649999999999999","900","0"
"MORN","1114093000","1","0","0.649999999999999","2278","0"
"MORN","1123093000","29.9","30.737655967665","0.869999999999997","2200","0"
"MORN","1125093000","24","5.80254754443119","0.909999999999997","3100","1"
"CAR","1101093000","22.05","0","0.32","444873","1"
"CAR","1101130000","29.5666666666667","2.17317355917281","0.34","165354","1"
"CAR","1101140000","26.3166666666667","1.40391074561211","0.295","144621","1"
"CAR","1102093000","19.0166666666667","0","0.44","223621","0"
"CAR","1103093000","28.3333333333333","6.99689893507141","0.629999999999999","302455","0"
"CAR","1103100000","23.2166666666667","11.9666471229747","0.389999999999999","758790","0"
"CAR","1104093000","29.8833333333333","0","0.445","147376","0"
"CAR","1118093000","18.5","0","0.390000000000001","170492","0"
"CAR","1125093000","9.65","0","0.385","69251","1"
"CAR","1125133000","13","0.157602522640971","0.58","10458","1"
"NATI","1101093000","0.5","0","0.599999999999998","23762","1"
"NATI","1101113000","29.1333333333333","17.8103614645864","0.399999999999999","13772","0"
"NATI","1102093000","20.4333333333333","0","0.43","15175","0"
"NATI","1103093000","11.7","3.58079793313295","0.520000000000003","29614","1"
"NATI","1117133000","21.6833333333333","4.51530057096994","0.399999999999999","17420","0"
"NATI","1121093000","24","8.1896540417506","0.379999999999999","6759","0"
"NATI","1122103000","23.8166666666667","6.96074208923698","0.379999999999999","35871","0"
"NATI","1125133000","6","0","0.740000000000002","131","1"
"NATI","1128093000","10.7166666666667","3.94170288644243","0.579999999999998","38890","1"
"NATI","1129093000","27.65","0","0.41","12560","0"
"TIBX","1107100000","23.6","13.5795973812013","0.59","133239","0"
"TIBX","1114093000","26.2166666666667","7.78410080399992","1.61","846025","1"
"TIBX","1114100000","12.35","16.6325354660808","0.77","558311","1"
"TIBX","1114103000","26.15","6.27318477125753","0.690000000000001","423096","1"
"TIBX","1115093000","17.6","0","0.690000000000001","280963","1"
"TIBX","1117123000","11.1166666666667","0","0.61","243462","0"
"TIBX","1118093000","14.6333333333333","2.15497252823536","1.11","334966","0"
"TIBX","1121093000","22.3166666666667","5.93624737483734","0.710000000000001","363346","0"
"TIBX","1125133000","6","0","0.899999999999999","188","1"
"TIBX","1128113000","17.5666666666667","0","0.64","129811","0"
"FNFG","1101100000","26.5","0","0.15","707272","1"
"FNFG","1102093000","26.9166666666667","0","0.16","274382","0"
"FNFG","1103093000","24.3833333333333","0","0.210000000000001","447367","0"
"FNFG","1103100000","21.4333333333333","0","0.149099999999999","370414","1"
"FNFG","1110093000","11.1666666666667","5.01723141119015","0.18","531260","1"
"FNFG","1110100000","7.83333333333333","0","0.145000000000001","401321","1"
"FNFG","1121093000","6.46666666666667","12.988216671372","0.15","403527","0"
"FNFG","1121110000","4.1","6.35184309969932","0.199999999999999","1030795","0"
"FNFG","1125093000","1","0.01","0.210000000000001","249107","0"
"FNFG","1125133000","6","0.143831666676567","0.24","22410","1"
"MCRS","1101093000","26.2","0","1.23","43377","0"
"MCRS","1104093000","8.3","0","1.1523","22063","1"
"MCRS","1109093000","23.1333333333333","5.87116370369496","0.86","29090","0"
"MCRS","1114093000","18.3166666666667","0","0.850000000000001","12828","0"
"MCRS","1115120000","26.8833333333333","13.0689277316005","0.660000000000004","16841","1"
"MCRS","1117123000","8.2","4.54547816733482","0.840000000000003","47086","0"
"MCRS","1118093000","14.9","0","0.969999999999999","26286","0"
"MCRS","1121093000","0.0333333333333333","0","0.660000000000004","16326","1"
"MCRS","1122093000","17.25","0","1.472","15779","1"
"MCRS","1125093000","14.2333333333333","0","0.68","8401","1"
"CPRT","1101093000","4.8","0","0.880000000000003","23634","0"
"CPRT","1102093000","0.216666666666667","0","0.670000000000002","14038","0"
"CPRT","1108110000","18.7","2.93026814007916","0.549999999999997","28829","0"
"CPRT","1115093000","0.05","0","0.829999999999998","10561","1"
"CPRT","1117093000","20.6166666666667","0","0.844500000000004","5124","0"
"CPRT","1125130000","13","0","1.33","7147","1"
"CPRT","1128093000","26.05","0","0.769999999999996","65668","1"
"CPRT","1128100000","27.55","0","0.649999999999999","43568","0"
"CPRT","1129093000","14.6333333333333","5.30740689637207","1.05","63880","1"
"CPRT","1130093000","28.35","6.13986486639597","0.909999999999997","60159","1"
"MIDD","1101100000","25","0","1.98999999999999","3279","1"
"MIDD","1101153000","24.0833333333333","0","1.5","18709","0"
"MIDD","1103093000","26.6333333333333","0","3","6662","0"
"MIDD","1104093000","26","32.4382690048848","1.89139999999999","1932","0"
"MIDD","1109093000","1","0","4.1671","19623","1"
"MIDD","1109100000","13.3833333333333","0","3.59","14676","1"
"MIDD","1110093000","13.45","0","2.31999999999999","16079","1"
"MIDD","1116150000","14.2666666666667","14.4140536069088","1.54000000000001","8554","0"
"MIDD","1121093000","16","5.6447892059219","3.25","3544","0"
"MIDD","1125133000","6","0.133455032211424","2.66","1810","1"
